,Salm,Allikas
25,"
Speak not to me of yonder motley masses,
Whom but to see, puts out the fire of Song!
Hide from my view the surging crowd that passes,
And in its whirlpool forces us along!
No, lead me where some heavenly silence glasses
The purer joys that round the Poet throng,--
Where Love and Friendship still divinely fashion
The bonds that bless, the wreaths that crown his passion!
Ah, every utterance from the depths of feeling
The timid lips have stammeringly expressed,--
Now failing, now, perchance, success revealing,--
Gulps the wild Moment in its greedy breast;
Or oft, reluctant years its warrant sealing,
Its perfect stature stands at last confessed!
What dazzles, for the Moment spends its spirit:
What's genuine, shall Posterity inherit.",Faust
26,"
Posterity! Don't name the word to me!
If _I_ should choose to preach Posterity,
Where would you get contemporary fun?
That men _will_ have it, there's no blinking:
A fine young fellow's presence, to my thinking,
Is something worth, to every one.
Who genially his nature can outpour,
Takes from the People's moods no irritation;
The wider circle he acquires, the more
Securely works his inspiration.
Then pluck up heart, and give us sterling coin!
Let Fancy be with her attendants fitted,--
Sense, Reason, Sentiment, and Passion join,--
But have a care, lest Folly be omitted!",Faust
27,"Chiefly, enough of incident prepare!
They come to look, and they prefer to stare.
Reel off a host of threads before their faces,
So that they gape in stupid wonder: then
By sheer diffuseness you have won their graces,
And are, at once, most popular of men.
Only by mass you touch the mass; for any
Will finally, himself, his bit select:
Who offers much, brings something unto many,
And each goes home content with the effect,
If you've a piece, why, just in pieces give it:
A hash, a stew, will bring success, believe it!
'Tis easily displayed, and easy to invent.
What use, a Whole compactly to present?
Your hearers pick and pluck, as soon as they receive it!",Faust
28,"You do not feel, how such a trade debases;
How ill it suits the Artist, proud and true!
The botching work each fine pretender traces
Is, I perceive, a principle with you.",Faust
29,"Then give me back that time of pleasures,
While yet in joyous growth I sang,--
When, like a fount, the crowding measures
Uninterrupted gushed and sprang!
Then bright mist veiled the world before me,
In opening buds a marvel woke,
As I the thousand blossoms broke,
Which every valley richly bore me!
I nothing had, and yet enough for youth--
Joy in Illusion, ardent thirst for Truth.
Give, unrestrained, the old emotion,
The bliss that touched the verge of pain,
The strength of Hate, Love's deep devotion,--
O, give me back my youth again!",Faust
30,"Youth, good my friend, you certainly require
When foes in combat sorely press you;
When lovely maids, in fond desire,
Hang on your bosom and caress you;
When from the hard-won goal the wreath
Beckons afar, the race awaiting;
When, after dancing out your breath,
You pass the night in dissipating:--
But that familiar harp with soul
To play,--with grace and bold expression,
And towards a self-erected goal
To walk with many a sweet digression,--
This, aged Sirs, belongs to you,
And we no less revere you for that reason:
Age childish makes, they say, but 'tis not true;
We're only genuine children still, in Age's season!",Faust
31,"The sun-orb sings, in emulation,
'Mid brother-spheres, his ancient round:
His path predestined through Creation
He ends with step of thunder-sound.
The angels from his visage splendid
Draw power, whose measure none can say;
The lofty works, uncomprehended,
Are bright as on the earliest day.",Faust
32,"And swift, and swift beyond conceiving,
The splendor of the world goes round,
Day's Eden-brightness still relieving
The awful Night's intense profound:
The ocean-tides in foam are breaking,
Against the rocks' deep bases hurled,
And both, the spheric race partaking,
Eternal, swift, are onward whirled!",Faust
33,"And rival storms abroad are surging
From sea to land, from land to sea.
A chain of deepest action forging
Round all, in wrathful energy.
There flames a desolation, blazing
Before the Thunder's crashing way:
Yet, Lord, Thy messengers are praising
The gentle movement of Thy Day.",Faust
34,"Though still by them uncomprehended,
From these the angels draw their power,
And all Thy works, sublime and splendid,
Are bright as in Creation's hour.",Faust
35,"Since Thou, O Lord, deign'st to approach again
And ask us how we do, in manner kindest,
And heretofore to meet myself wert fain,
Among Thy menials, now, my face Thou findest.
Pardon, this troop I cannot follow after
With lofty speech, though by them scorned and spurned:
My pathos certainly would move Thy laughter,
If Thou hadst not all merriment unlearned.
Of suns and worlds I've nothing to be quoted;
How men torment themselves, is all I've noted.
The little god o' the world sticks to the same old way,
And is as whimsical as on Creation's day.
Life somewhat better might content him,
But for the gleam of heavenly light which Thou hast lent him:
He calls it Reason--thence his power's increased,
To be far beastlier than any beast.
Saving Thy Gracious Presence, he to me
A long-legged grasshopper appears to be,
That springing flies, and flying springs,
And in the grass the same old ditty sings.
Would he still lay among the grass he grows in!
Each bit of dung he seeks, to stick his nose in.",Faust
36,"Hast thou, then, nothing more to mention?
Com'st ever, thus, with ill intention?
Find'st nothing right on earth, eternally?",Faust
37,"No, Lord! I find things, there, still bad as they can be.
Man's misery even to pity moves my nature;
I've scarce the heart to plague the wretched creature.",Faust
38,"Forsooth! He serves you after strange devices:
No earthly meat or drink the fool suffices:
His spirit's ferment far aspireth;
Half conscious of his frenzied, crazed unrest,
The fairest stars from Heaven he requireth,
From Earth the highest raptures and the best,
And all the Near and Far that he desireth
Fails to subdue the tumult of his breast.",Faust
39,"Though still confused his service unto Me,
I soon shall lead him to a clearer morning.
Sees not the gardener, even while buds his tree,
Both flower and fruit the future years adorning?",Faust
40,"What will you bet? There's still a chance to gain him,
If unto me full leave you give,
Gently upon _my_ road to train him!",Faust
41,"As long as he on earth shall live,
So long I make no prohibition.
While Man's desires and aspirations stir,
He cannot choose but err.",Faust
42,"My thanks! I find the dead no acquisition,
And never cared to have them in my keeping.
I much prefer the cheeks where ruddy blood is leaping,
And when a corpse approaches, close my house:
It goes with me, as with the cat the mouse.",Faust
43,"Enough! What thou hast asked is granted.
Turn off this spirit from his fountain-head;
To trap him, let thy snares be planted,
And him, with thee, be downward led;
Then stand abashed, when thou art forced to say:
A good man, through obscurest aspiration,
Has still an instinct of the one true way.",Faust
44,"Agreed! But 'tis a short probation.
About my bet I feel no trepidation.
If I fulfill my expectation,
You'll let me triumph with a swelling breast:
Dust shall he eat, and with a zest,
As did a certain snake, my near relation.",Faust
45,"Therein thou'rt free, according to thy merits;
The like of thee have never moved My hate.
Of all the bold, denying Spirits,
The waggish knave least trouble doth create.
Man's active nature, flagging, seeks too soon the level;
Unqualified repose he learns to crave;
Whence, willingly, the comrade him I gave,
Who works, excites, and must create, as Devil.
But ye, God's sons in love and duty,
Enjoy the rich, the ever-living Beauty!
Creative Power, that works eternal schemes,
Clasp you in bonds of love, relaxing never,
And what in wavering apparition gleams
Fix in its place with thoughts that stand forever!",Faust
46,"I like, at times, to hear The Ancient's word,
And have a care to be most civil:
It's really kind of such a noble Lord
So humanly to gossip with the Devil!
[Illustration]
[Illustration]",Faust
47,"I've studied now Philosophy
And Jurisprudence, Medicine,--
And even, alas! Theology,--
From end to end, with labor keen;
And here, poor fool! with all my lore
I stand, no wiser than before:
I'm Magister--yea, Doctor--hight,
And straight or cross-wise, wrong or right,
These ten years long, with many woes,
I've led my scholars by the nose,--
And see, that nothing can be known!
_That_ knowledge cuts me to the bone.
I'm cleverer, true, than those fops of teachers,
Doctors and Magisters, Scribes and Preachers;
Neither scruples nor doubts come now to smite me,
Nor Hell nor Devil can longer affright me.",Faust
48,"For this, all pleasure am I foregoing;
I do not pretend to aught worth knowing,
I do not pretend I could be a teacher
To help or convert a fellow-creature.
Then, too, I've neither lands nor gold,
Nor the world's least pomp or honor hold--
No dog would endure such a curst existence!
Wherefore, from Magic I seek assistance,
That many a secret perchance I reach
Through spirit-power and spirit-speech,
And thus the bitter task forego
Of saying the things I do not know,--
That I may detect the inmost force
Which binds the world, and guides its course;
Its germs, productive powers explore,
And rummage in empty words no more!",Faust
49,"O full and splendid Moon, whom I
Have, from this desk, seen climb the sky
So many a midnight,--would thy glow
For the last time beheld my woe!
Ever thine eye, most mournful friend,
O'er books and papers saw me bend;
But would that I, on mountains grand,
Amid thy blessed light could stand,
With spirits through mountain-caverns hover,
Float in thy twilight the meadows over,
And, freed from the fumes of lore that swathe me,
To health in thy dewy fountains bathe me!",Faust
50,"Ah, me! this dungeon still I see.
This drear, accursed masonry,
Where even the welcome daylight strains
But duskly through the painted panes.
Hemmed in by many a toppling heap
Of books worm-eaten, gray with dust,
Which to the vaulted ceiling creep,
Against the smoky paper thrust,--
With glasses, boxes, round me stacked,
And instruments together hurled,
Ancestral lumber, stuffed and packed--
Such is my world: and what a world!",Faust
51,"And do I ask, wherefore my heart
Falters, oppressed with unknown needs?
Why some inexplicable smart
All movement of my life impedes?
Alas! in living Nature's stead,
Where God His human creature set,
In smoke and mould the fleshless dead
And bones of beasts surround me yet!",Faust
52,"Fly! Up, and seek the broad, free land!
And this one Book of Mystery
From Nostradamus' very hand,
Is't not sufficient company?
When I the starry courses know,
And Nature's wise instruction seek,
With light of power my soul shall glow,
As when to spirits spirits speak.
Tis vain, this empty brooding here,
Though guessed the holy symbols be:
Ye, Spirits, come--ye hover near--
Oh, if you hear me, answer me!",Faust
53,"Ha! what a sudden rapture leaps from this
I view, through all my senses swiftly flowing!
I feel a youthful, holy, vital bliss
In every vein and fibre newly glowing.
Was it a God, who traced this sign,
With calm across my tumult stealing,
My troubled heart to joy unsealing,
With impulse, mystic and divine,
The powers of Nature here, around my path, revealing?
Am I a God?--so clear mine eyes!
In these pure features I behold
Creative Nature to my soul unfold.
What says the sage, now first I recognize:
""The spirit-world no closures fasten;
Thy sense is shut, thy heart is dead:
Disciple, up! untiring, hasten
To bathe thy breast in morning-red!""",Faust
54,"How each the Whole its substance gives,
Each in the other works and lives!
Like heavenly forces rising and descending,
Their golden urns reciprocally lending,
With wings that winnow blessing
From Heaven through Earth I see them pressing,
Filling the All with harmony unceasing!
How grand a show! but, ah! a show alone.
Thee, boundless Nature, how make thee my own?
Where you, ye beasts? Founts of all Being, shining,
Whereon hang Heaven's and Earth's desire,
Whereto our withered hearts aspire,--
Ye flow, ye feed: and am I vainly pining?",Faust
55,"How otherwise upon me works this sign!
Thou, Spirit of the Earth, art nearer:
Even now my powers are loftier, clearer;
I glow, as drunk with new-made wine:
New strength and heart to meet the world incite me,
The woe of earth, the bliss of earth, invite me,
And though the shock of storms may smite me,
No crash of shipwreck shall have power to fright me!
Clouds gather over me--
The moon conceals her light--
The lamp's extinguished!--
Mists rise,--red, angry rays are darting
Around my head!--There falls
A horror from the vaulted roof,
And seizes me!
I feel thy presence, Spirit I invoke!
Reveal thyself!
Ha! in my heart what rending stroke!
With new impulsion
My senses heave in this convulsion!
I feel thee draw my heart, absorb, exhaust me:
Thou must! thou must! and though my life it cost me!",Faust
56,"(_He seizes the book, and mysteriously pronounces the sign of
the Spirit. A ruddy flame flashes: the Spirit appears in
the flame_.)",Faust
57,"To view me is thine aspiration,
My voice to hear, my countenance to see;
Thy powerful yearning moveth me,
Here am I!--what mean perturbation
Thee, superhuman, shakes? Thy soul's high calling, where?
Where is the breast, which from itself a world did bear,
And shaped and cherished--which with joy expanded,
To be our peer, with us, the Spirits, banded?
Where art thou, Faust, whose voice has pierced to me,
Who towards me pressed with all thine energy?
_He_ art thou, who, my presence breathing, seeing,
Trembles through all the depths of being,
A writhing worm, a terror-stricken form?",Faust
58,"  In the tides of Life, in Action's storm,
  A fluctuant wave,
  A shuttle free,
  Birth and the Grave,
  An eternal sea,
  A weaving, flowing
  Life, all-glowing,
Thus at Time's humming loom 'tis my hand prepares
The garment of Life which the Deity wears!",Faust
59,"O Death!--I know it--'tis my Famulus!
My fairest luck finds no fruition:
In all the fullness of my vision
The soulless sneak disturbs me thus!",Faust
60,"Pardon, I heard your declamation;
'Twas sure an old Greek tragedy you read?
In such an art I crave some preparation,
Since now it stands one in good stead.
I've often heard it said, a preacher
Might learn, with a comedian for a teacher.",Faust
61,"Ah, when one studies thus, a prisoned creature,
That scarce the world on holidays can see,--
Scarce through a glass, by rare occasion,
How shall one lead it by persuasion?",Faust
62,"You'll ne'er attain it, save you know the feeling,
Save from the soul it rises clear,
Serene in primal strength, compelling
The hearts and minds of all who hear.
You sit forever gluing, patching;
You cook the scraps from others' fare;
And from your heap of ashes hatching
A starveling flame, ye blow it bare!
Take children's, monkeys' gaze admiring,
If such your taste, and be content;
But ne'er from heart to heart you'll speak inspiring,
Save your own heart is eloquent!",Faust
63,"Seek thou the honest recompense!
Beware, a tinkling fool to be!
With little art, clear wit and sense
Suggest their own delivery;
And if thou'rt moved to speak in earnest,
What need, that after words thou yearnest?
Yes, your discourses, with their glittering show,
Where ye for men twist shredded thought like paper,
Are unrefreshing as the winds that blow
The rustling leaves through chill autumnal vapor!",Faust
64,"Ah, God! but Art is long,
And Life, alas! is fleeting.
And oft, with zeal my critic-duties meeting,
In head and breast there's something wrong.",Faust
65,"How hard it is to compass the assistance
Whereby one rises to the source!
And, haply, ere one travels half the course
Must the poor devil quit existence.",Faust
66,"Is parchment, then, the holy fount before thee,
A draught wherefrom thy thirst forever slakes?
No true refreshment can restore thee,
Save what from thine own soul spontaneous breaks.",Faust
67,"Pardon! a great delight is granted
When, in the spirit of the ages planted,
We mark how, ere our times, a sage has thought,
And then, how far his work, and grandly, we have brought.",Faust
68,"O yes, up to the stars at last!
Listen, my friend: the ages that are past
Are now a book with seven seals protected:
What you the Spirit of the Ages call
Is nothing but the spirit of you all,
Wherein the Ages are reflected.
So, oftentimes, you miserably mar it!
At the first glance who sees it runs away.
An offal-barrel and a lumber-garret,
Or, at the best, a Punch-and-Judy play,
With maxims most pragmatical and hitting,
As in the mouths of puppets are befitting!",Faust
69,"Yes, of the kind which men attain!
Who dares the child's true name in public mention?
The few, who thereof something really learned,
Unwisely frank, with hearts that spurned concealing,
And to the mob laid bare each thought and feeling,
Have evermore been crucified and burned.
I pray you, Friend, 'tis now the dead of night;
Our converse here must be suspended.",Faust
70,"I would have shared your watches with delight,
That so our learned talk might be extended.
To-morrow, though, I'll ask, in Easter leisure,
This and the other question, at your pleasure.
Most zealously I seek for erudition:
Much do I know--but to know all is my ambition.",Faust
71,"That brain, alone, not loses hope, whose choice is
To stick in shallow trash forevermore,--
Which digs with eager hand for buried ore,
And, when it finds an angle-worm, rejoices!",Faust
72,"Dare such a human voice disturb the flow,
Around me here, of spirit-presence fullest?
And yet, this once my thanks I owe
To thee, of all earth's sons the poorest, dullest!
For thou hast torn me from that desperate state
Which threatened soon to overwhelm my senses:
The apparition was so giant-great,
It dwarfed and withered all my soul's pretences!",Faust
73,"I, image of the Godhead, who began--
Deeming Eternal Truth secure in nearness--
To sun myself in heavenly light and clearness,
And laid aside the earthly man;—
I, more than Cherub, whose free force had planned
To flow through Nature’s veins in glad pulsation,
To reach beyond, enjoying in creation
The life of Gods, behold my expiation!
A thunder-word hath swept me from my stand.27",Faust
74,"With thee I dare not venture to compare me.
Though I possessed the power to draw thee near me,
The power to keep thee was denied my hand.
When that ecstatic moment held me,
I felt myself so small, so great;
But thou hast ruthlessly repelled me
Back upon Man’s uncertain fate.
What shall I shun? Whose guidance borrow?
Shall I accept that stress and strife?
Ah! every deed of ours, no less than every sorrow,
Impedes the onward march of life.",Faust
75,"Some alien substance more and more is cleaving
To all the mind conceives of grand and fair;
When this world’s Good is won by our achieving,
The Better, then, is named a cheat and snare.
The fine emotions, whence our lives we mould,
Lie in the earthly tumult dumb and cold.
If hopeful Fancy once, in daring flight,
Her longings to the Infinite expanded,
Yet now a narrow space contents her quite,
Since Time’s wild wave so many a fortune stranded.
Care at the bottom of the heart is lurking:
Her secret pangs in silence working,
She, restless, rocks herself, disturbing joy and rest:
In newer masks her face is ever drest,
By turns as house and land, as wife and child, presented,—
As water, fire, as poison, steel:
We dread the blows we never feel,
And what we never lose is yet by us lamented!",Faust
76,"I am not like the Gods! That truth is felt too deep:
The worm am I, that in the dust doth creep,—
That, while in dust it lives and seeks its bread,
Is crushed and buried by the wanderer’s tread.",Faust
77,"Yet, wherefore tums my gaze to yonder point so lightly?
Is yonder flask a magnet for mine eyes?
Whence, all around me, glows the air so brightly,
As when in woods at night the mellow moonbeam lies?",Faust
78,"I hail thee, wondrous, rarest vial!
I take thee down devoutly, for the trial:
Man’s art and wit I venerate in thee.
Thou summary of gentle slumber-juices,
Essence of deadly finest powers and uses,
Unto thy master show thy favor free!
I see thee, and the stings of pain diminish;
I grasp thee, and my struggles slowly finish:
My spirit’s flood-tide ebbeth more and more.
Out on the open ocean speeds my dreaming;
The glassy flood before my feet is gleaming,
A new day beckons to a newer shore!",Faust
79,"
CHORUS OF ANGELS.32
Christ is arisen!
Joy to the Mortal One,
Whom the unmerited,
Clinging, inherited
Needs did imprison.",Faust
80,"
FAUST.
What hollow humming, what a sharp, clear stroke,
Drives from my lip the goblet’s, at their meeting?
Announce the booming bells already woke
The first glad hour of Easter’s festal greeting?
Ye choirs, have ye begun the sweet, consoling chant,
Which, through the night of Death, the angels ministrant
Sang, God's new Covenant repeating?",Faust
81,"          With spices and precious
          Balm, we arrayed him;
          Faithful and gracious,
          We tenderly laid him:
          Linen to bind him
          Cleanlily wound we:
          Ah! when we would find him,
          Christ no more found we!",Faust
82,"          Christ is ascended!
          Bliss hath invested him,--
          Woes that molested him,
          Trials that tested him,
          Gloriously ended!",Faust
83,"        Has He, victoriously,
        Burst from the vaulted
        Grave, and all-gloriously
        Now sits exalted?
        Is He, in glow of birth,
        Rapture creative near?
        Ah! to the woe of earth
        Still are we native here.
        We, his aspiring
        Followers, Him we miss;
        Weeping, desiring,
        Master, Thy bliss!",Faust
84,"        Christ is arisen,
        Out of Corruption's womb:
        Burst ye the prison,
        Break from your gloom!
        Praising and pleading him,
        Lovingly needing him,
        Brotherly feeding him,
        Preaching and speeding him,
        Blessing, succeeding Him,
        Thus is the Master near,--
        Thus is He here!
[Illustration]",Faust
85,"Come up to Burgdorf? There you'll find good cheer,
The finest lasses and the best of beer,
And jolly rows and squabbles, trust me!",Faust
86,"You swaggering fellow, is your hide
A third time itching to be tried?
I won't go there, your jolly rows disgust me!",Faust
87,"That's no great luck for me, 'tis plain.
You'll have him, when and where you wander:
His partner in the dance you'll be,--
But what is all your fun to me?",Faust
88,"Deuce! how they step, the buxom wenches!
Come, Brother! we must see them to the benches.
A strong, old beer, a pipe that stings and bites,
A girl in Sunday clothes,--these three are my delights.",Faust
89,"Just see those handsome fellows, there!
It's really shameful, I declare;--
To follow servant-girls, when they
Might have the most genteel society to-day!",Faust
90,"Not quite so fast! Two others come behind,--
Those, dressed so prettily and neatly.
My neighbor's one of them, I find,
A girl that takes my heart, completely.
They go their way with looks demure,
But they'll accept us, after all, I'm sure.",Faust
91,"No, Brother! not for me their formal ways.
Quick! lest our game escape us in the press:
The hand that wields the broom on Saturdays
Will best, on Sundays, fondle and caress.",Faust
92,"He suits me not at all, our new-made Burgomaster!
Since he's installed, his arrogance grows faster.
How has he helped the town, I say?
Things worsen,--what improvement names he?
Obedience, more than ever, claims he,
And more than ever we must pay!",Faust
93,"  Good gentlemen and lovely ladies,
  So red of cheek and fine of dress,
  Behold, how needful here your aid is,
  And see and lighten my distress!
  Let me not vainly sing my ditty;
  He's only glad who gives away:
  A holiday, that shows your pity,
  Shall be for me a harvest-day!",Faust
94,"On Sundays, holidays, there's naught I take delight in,
Like gossiping of war, and war's array,
When down in Turkey, far away,
The foreign people are a-fighting.
One at the window sits, with glass and friends,
And sees all sorts of ships go down the river gliding:
And blesses then, as home he wends
At night, our times of peace abiding.",Faust
95,"Yes, Neighbor! that's my notion, too:
Why, let them break their heads, let loose their passions,
And mix things madly through and through,
So, here, we keep our good old fashions!",Faust
96,"Dear me, how fine! So handsome, and so young!
Who wouldn't lose his heart, that met you?
Don't be so proud! I'll hold my tongue,
And what you'd like I'll undertake to get you.",Faust
97,"Come, Agatha! I shun the witch's sight
Before folks, lest there be misgiving:
'Tis true, she showed me, on Saint Andrew's Night,
My future sweetheart, just as he were living.",Faust
98,"She showed me mine, in crystal clear,
With several wild young blades, a soldier-lover:
I seek him everywhere, I pry and peer,
And yet, somehow, his face I can't discover.",Faust
99,"        Castles, with lofty
        Ramparts and towers,
        Maidens disdainful
        In Beauty's array,
        Both shall be ours!
        Bold is the venture,
        Splendid the pay!
        Lads, let the trumpets
        For us be suing,--
        Calling to pleasure,
        Calling to ruin.
        Stormy our life is;
        Such is its boon!
        Maidens and castles
        Capitulate soon.
        Bold is the venture,
        Splendid the pay!
        And the soldiers go marching,
        Marching away!",Faust
100,"To stroll with you, Sir Doctor, flatters;
'Tis honor, profit, unto me.
But I, alone, would shun these shallow matters,
Since all that's coarse provokes my enmity.
This fiddling, shouting, ten-pin rolling
I hate,--these noises of the throng:
They rave, as Satan were their sports controlling.
And call it mirth, and call it song!",Faust
101,"          All for the dance the shepherd dressed,
          In ribbons, wreath, and gayest vest
            Himself with care arraying:
          Around the linden lass and lad
          Already footed it like mad:
            Hurrah! hurrah!
            Hurrah--tarara-la!
          The fiddle-bow was playing.",Faust
102,"          He broke the ranks, no whit afraid,
          And with his elbow punched a maid,
            Who stood, the dance surveying:
          The buxom wench, she turned and said:
          ""Now, you I call a stupid-head!""
            Hurrah! hurrah!
            Hurrah--tarara-la!
          ""Be decent while you're staying!""",Faust
